,line,file_name,page_number
0,"  ferreri   Forel, 1913 ( Camponotus )
Revue Suisse de Zoologie, Genève 21: 671-672
♀ Holotypus, Kamerun, leg. Conradt, im DEI.",DOI 10.21248contrib.entomol.55.1.151-250_page_47_output.json,47
1,"  flavus   Crawley, 1922 ( Bothriomyrmex )
The Annals and Magazine of Natural History, including Zoology, Botany, and Geology (9), London 10: 27-29, Fig. 15
♂ ♀, ♀ Syntypen, W. Australia, Mundaring Weir, leg. Clark Nr. 21, 22, 57, 127, 147, in coll. Crawley. DEI: 6 ♀ Syntypen, W. Australia, Mundaring, leg. Clark.",DOI 10.21248contrib.entomol.55.1.151-250_page_47_output.json,47
2,"  foreli   Viehmeyer, 1914 ( Monomorium )
Archiv für Naturgeschichte, Berlin A 79 (12) [1913]: 32
♀ Syntypen, Süd Australien, Killalpaninna. DEI: 3 ♀ Syntypen, Süd Australien, Killalpaninno.",DOI 10.21248contrib.entomol.55.1.151-250_page_47_output.json,47
3,"  formosae   Forel, 1912 ( Prenolepis )
Entomologische Mitteilungen, Berlin-Dahlem 1: 73-74
Zahlreiche ♀, ♀ Syntypen, Formosa, leg. Sauter: Pilam, Kosempo und Takao. DEI: Syntypen, Formosa, leg. Sauter: 1 ♀ (ohne Hinterleib) Pilam 1.1908; 3 ♀ Pilam 2.1908; 3 ♀ Kosempo 7.1909; 4 ♀ Takao 11.1907-09.",DOI 10.21248contrib.entomol.55.1.151-250_page_47_output.json,47
4,"  formosae   Forel, 1912 ( Iridomyrmex bicknelli )
Entomologische Mitteilungen, Berlin-Dahlem 1: 70-71
♀, ♀ Syntypen, Formosa, Pilam, leg. Sauter. DEI: 2 ♀, 1 ♀ Syntypen, Formosa, Pilam, 1.1908, leg. Sauter.",DOI 10.21248contrib.entomol.55.1.151-250_page_47_output.json,47
5,"  formosae   Forel, 1912 ( Ponera japonica )
Archiv für Naturgeschichte, Berlin A 79 (6): 186-187
♀ Syntypen, Formosa, Anping, leg. Sauter. DEI: 1 ♀ Syntypus, Anping, No. 82 k, 11.7.11.",DOI 10.21248contrib.entomol.55.1.151-250_page_47_output.json,47
6,"  formosae   Forel, 1912 ( Odontomachus monticola  var.)
Entomologische Mitteilungen, Berlin-Dahlem 1: 46
♀ ♀, ♀ Syntypen, Formosa, Kankau, Pilam und Kosempo, leg. Sauter. DEI: Syntypen, Formosa, leg. Sauter: 1 ♀ Kankau VII. 09; 1 ♀, 3 ♀ Pilam I. 08; 1 ♀ Kosempo V. 09.",DOI 10.21248contrib.entomol.55.1.151-250_page_47_output.json,47
7,"  formosae   Forel, 1912 ( Triglyphothrix parvispina  var.)
Entomologische Mitteilungen, Berlin-Dahlem 1: 52-53
♀ Syntypen, Formosa, Pilam, leg. Sauter. DEI: 1 ♀ Syntypus, Formosa, Pilam, II. 08, leg. Sauter.",DOI 10.21248contrib.entomol.55.1.151-250_page_47_output.json,47
8,"  formosensis   Forel, 1913 ( Aenictps ceylonicus  var.)
Archiv für Naturgeschichte, Berlin A 79 (6): 188
♀ Syntypen, Formosa, Taihorin, leg. Sauter. DEI: 1 ♀ Syntypus, Taihorin, unter Felsbach, No 25c, (Forel unique!).",DOI 10.21248contrib.entomol.55.1.151-250_page_47_output.json,47
9,"  formosensis   Forel, 1912 ( Strumigenys feae  var.)
Entomologische Mitteilungen, Berlin-Dahlem 1: 52
♀ Syntypen, Formosa, Pilam, leg. Sauter. DEI: 1 ♀ Syntypus, Formosa, Pilam, leg. Sauter. Als Strumigenys [sic] beschrieben.",DOI 10.21248contrib.entomol.55.1.151-250_page_47_output.json,47
